1653068700.0,28918.04000000,29025.25000000,28873.02000000,28959.22000000,774.45106000,1653069599999,22427132.85811410,18046,440.22634000,12748844.99814270,0
1653069600.0,28959.22000000,28959.22000000,28813.45000000,28884.71000000,589.23222000,1653070499999,17016038.25754010,17665,285.35183000,8240148.34430080,0
1653070500.0,28884.71000000,28908.36000000,28835.38000000,28890.01000000,500.36784000,1653071399999,14444618.58343850,15174,246.76280000,7123680.00048220,0
1653071400.0,28890.01000000,28950.00000000,28818.86000000,28949.99000000,481.84389000,1653072299999,13914974.25499930,15744,263.88047000,7620175.57428990,0
1653072300.0,28949.99000000,29093.32000000,28927.27000000,29010.00000000,650.77059000,1653073199999,18880328.76859340,20476,364.07865000,10562509.22957110,0
1653073200.0,29009.99000000,29114.27000000,28934.28000000,29105.81000000,597.60436000,1653074099999,17342687.90764230,16759,330.41921000,9590451.83572320,0
1653074100.0,29105.81000000,29123.27000000,28969.12000000,29062.95000000,570.35312000,1653074999999,16561524.41283150,13504,306.55397000,8901185.10331670,0
1653075000.0,29062.95000000,29313.21000000,29015.13000000,29250.53000000,1000.50630000,1653075899999,29191136.74855380,19742,550.70964000,16061499.61953840,0
1653075900.0,29250.53000000,29359.23000000,29181.23000000,29291.55000000,1019.88163000,1653076799999,29858724.03274950,21374,582.09924000,17040532.92894950,0
1653076800.0,29291.55000000,29312.78000000,29205.52000000,29260.85000000,491.30602000,1653077699999,14372230.98681960,11194,268.40250000,7851889.29919200,0
1653077700.0,29260.85000000,29357.72000000,29260.84000000,29333.62000000,363.32080000,1653078599999,10649615.91004700,8959,190.24815000,5576082.03798540,0
1653078600.0,29333.62000000,29337.22000000,29185.61000000,29228.11000000,385.14328000,1653079499999,11265543.48330680,9160,191.25457000,5593580.36528220,0
1653079500.0,29228.11000000,29233.69000000,29123.77000000,29141.88000000,342.10285000,1653080399999,9973803.23741360,8375,164.73574000,4802905.36143040,0
1653080400.0,29141.89000000,29264.42000000,29134.99000000,29235.32000000,288.35154000,1653081299999,8424522.68153650,6950,151.29225000,4419202.02745460,0
1653081300.0,29235.33000000,29311.38000000,29210.00000000,29283.54000000,243.02576000,1653082199999,7112651.70668170,7274,146.70012000,4294297.95495790,0
