1653504300.0,29797.55000000,29832.37000000,29770.94000000,29773.15000000,146.40840000,1653504599999,4364464.43500480,3275,73.93081000,2203873.56145700,0
1653504600.0,29773.14000000,29866.64000000,29773.14000000,29860.01000000,171.30561000,1653504899999,5110229.54358500,3830,92.41594000,2756530.24865430,0
1653504900.0,29860.02000000,29924.08000000,29860.01000000,29885.61000000,162.20921000,1653505199999,4848084.50591650,4107,95.98176000,2868510.18328290,0
1653505200.0,29885.61000000,29976.90000000,29862.65000000,29955.57000000,282.65115000,1653505499999,8461155.95314520,5363,151.46750000,4533957.32246550,0
1653505500.0,29955.57000000,29965.03000000,29866.00000000,29894.26000000,270.41606000,1653505799999,8086730.34116260,3984,114.32618000,3418696.41775280,0
1653505800.0,29894.26000000,29900.00000000,29850.60000000,29860.21000000,119.29882000,1653506099999,3565869.21929100,2602,39.39647000,1177553.37564560,0
1653506100.0,29860.21000000,29865.47000000,29757.70000000,29761.92000000,194.54362000,1653506399999,5795591.94788020,4529,98.90817000,2946371.57519850,0
1653506400.0,29761.92000000,29766.15000000,29706.79000000,29745.45000000,149.05825000,1653506699999,4432423.68461530,3534,83.52481000,2483709.05690060,0
1653506700.0,29745.46000000,29763.88000000,29700.00000000,29704.12000000,139.32224000,1653506999999,4142537.59508440,3344,74.22177000,2206777.61197290,0
1653507000.0,29704.13000000,29732.61000000,29700.30000000,29710.92000000,155.14020000,1653507299999,4610032.15395940,2737,90.92533000,2701644.24946210,0
1653507300.0,29710.91000000,29756.31000000,29685.16000000,29741.54000000,111.26460000,1653507599999,3307420.06987920,2637,58.82511000,1748534.57081290,0
1653507600.0,29741.54000000,29756.09000000,29720.27000000,29738.60000000,80.87712000,1653507899999,2405424.41256650,2090,39.63154000,1178641.33946040,0
1653507900.0,29738.59000000,29753.84000000,29669.41000000,29693.83000000,192.61699000,1653508199999,5723057.45853420,3072,95.99228000,2851854.05732200,0
1653508200.0,29693.83000000,29693.83000000,29629.35000000,29683.17000000,436.61693000,1653508499999,12948131.08433970,3929,131.67418000,3904913.97157030,0
1653508500.0,29683.17000000,29722.30000000,29570.55000000,29599.10000000,463.48265000,1653508799999,13730697.74481570,4565,126.49802000,3748714.79011990,0
1653508800.0,29599.10000000,29625.67000000,29560.71000000,29622.87000000,183.07330000,1653509099999,5416640.06824510,3105,118.54921000,3507436.47372630,0
1653509100.0,29622.86000000,29649.26000000,29616.04000000,29647.39000000,96.90517000,1653509399999,2871384.10785610,2456,56.40072000,1671098.19705150,0
1653509400.0,29647.38000000,29649.90000000,29632.04000000,29640.85000000,53.22394000,1653509699999,1577553.10066030,1830,31.01211000,919153.02416370,0
1653509700.0,29640.86000000,29678.74000000,29621.90000000,29667.62000000,107.81595000,1653509999999,3196865.98719680,2281,67.58452000,2003811.56898930,0
1653510000.0,29667.62000000,29685.13000000,29615.38000000,29626.49000000,297.39453000,1653510299999,8818023.45972820,3535,155.26476000,4603444.92742940,0
1653510300.0,29626.49000000,29631.00000000,29600.00000000,29631.00000000,195.48927000,1653510599999,5787957.71379660,2398,100.76851000,2983611.38469850,0
1653510600.0,29631.00000000,29698.79000000,29622.66000000,29693.55000000,87.44579000,1653510899999,2594434.32433350,2655,57.94494000,1719132.45111720,0
1653510900.0,29693.55000000,29741.18000000,29684.65000000,29726.11000000,102.61611000,1653511199999,3049206.10945920,2565,58.62431000,1741832.99807540,0
